,dummy,trail,region,date,description,condition,link
1149,,Snail Hunting,Mishmar HaEmek,"May 9, 2019 @ 8:44pmMay 9, 2019",,Very Dry,view
1150,,Snail of a Rabit,Mishmar HaEmek,"May 9, 2019 @ 8:44pmMay 9, 2019",,Very Dry,view
1151,,Aristo,Mishmar HaEmek,"May 9, 2019 @ 8:44pmMay 9, 2019",,Very Dry,view
1152,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"May 9, 2019 @ 8:44pmMay 9, 2019",,Very Dry,view
1153,,Dan7,Mishmar HaEmek,"May 9, 2019 @ 8:44pmMay 9, 2019",,Very Dry,view
1154,,Aloney Yitshak East,Kfar Glikson,"May 8, 2019 @ 10:55pmMay 8, 2019",Overgrown vegetation,Variable,view
1155,,HaZore'a South / Blue singletrack,Ramot Menashe,"May 8, 2019 @ 10:45pmMay 8, 2019",,Dry,view
1156,,Forest Road,Horeshan,"May 8, 2019 @ 8:00pmMay 8, 2019",,Dry,view
1157,,Forest Road (HaNasham),Horeshan,"May 8, 2019 @ 8:00pmMay 8, 2019",,Dry,view
1158,,Aloney Yitshak East,Kfar Glikson,"May 3, 2019 @ 9:59pmMay 3, 2019",עשבים וקוצים חונקים את הסינגל,Variable,view
1159,,Aloney Yitshak West,Kfar Glikson,"May 3, 2019 @ 9:59pmMay 3, 2019",,Variable,view
1160,,Ehud 1,Horeshan,"May 3, 2019 @ 9:59pmMay 3, 2019",,Variable,view
1161,,HaZore'a North / Yellow singletrack,Ramot Menashe,"May 2, 2019 @ 9:31pmMay 2, 2019",,Very Dry,view
1162,,HaZore'a South / Blue singletrack,Ramot Menashe,"May 2, 2019 @ 9:31pmMay 2, 2019",,Very Dry,view
1163,,Tivon Circuit (NE section),Kiryat Tivon,"Apr 30, 2019 @ 9:58pmApr 30, 2019","Large tree down across trail, blocking trail reporter",Dry,view
1164,,Kiryat Ata official,Kiryat Ata Forest,"Apr 26, 2019 @ 10:14pmApr 26, 2019",,Dry,view
1165,,Kamtan,Kfar HaHoresh,"Apr 26, 2019 @ 9:38pmApr 26, 2019",reporter,Dry,view
1166,,Sukkot Detour,Kfar HaHoresh,"Apr 26, 2019 @ 9:38pmApr 26, 2019",reporter,Dry,view
1167,,HaHoresh,Kfar HaHoresh,"Apr 26, 2019 @ 9:38pmApr 26, 2019",reporter,Dry,view
1168,,Yafia 3,Kfar HaHoresh,"Apr 26, 2019 @ 9:38pmApr 26, 2019",reporter,Dry,view
1169,,The Mad Cow,Kfar HaHoresh,"Apr 26, 2019 @ 9:38pmApr 26, 2019",reporter,Dry,view
1170,,Mad Cow,Kfar HaHoresh,"Apr 26, 2019 @ 9:38pmApr 26, 2019",reporter,Dry,view
1171,,Paradise,Horeshan,"Apr 25, 2019 @ 11:14pmApr 25, 2019",,Variable,view
1172,,Ehud 6,Horeshan,"Apr 25, 2019 @ 11:14pmApr 25, 2019",,Variable,view
1173,,Ehud 1,Horeshan,"Apr 25, 2019 @ 11:14pmApr 25, 2019",חלקים מהסינגל מחורצים מאוד,Variable,view
1174,,The Orange,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1175,,Motorbikes North,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1176,,Forest Road,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1177,,Millis,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1178,,Rocks,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1179,,Forest Road,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1180,,The Peak,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1181,,Cyprus Liar switch,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1182,,S's On The Black,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1183,,Forest Road,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1184,,Forest Road,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Variable,view
1185,,S's to New Zealand,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1186,,Orange Connection,Horeshan,"Apr 25, 2019 @ 8:02pmApr 25, 2019",,Dry,view
1187,,Connector,Ofer Forest,"Apr 23, 2019 @ 9:03pmApr 23, 2019","סינגל חוף הכרמל - לופ כרם מהר""ל",Variable,view
1188,,Goat Hill,Carmel Mountain,"Apr 22, 2019 @ 10:28pmApr 22, 2019",,Dry,view
1189,,Hanita,Hanita,"Apr 22, 2019 @ 6:36amApr 22, 2019",,Variable,view
1190,,HaSolelim,Alon HaGalil,"Apr 20, 2019 @ 4:43amApr 20, 2019",שמשית + סולליםShimshit+Sollelim,Variable,view
1191,,Escape route,Kiryat Tivon,"Apr 16, 2019 @ 2:27amApr 16, 2019","Fresh trail, need time to settle  reporter 8 hours 6 attendees",Variable,view
1192,,Aloney Yitshak East,Kfar Glikson,"Apr 12, 2019 @ 3:19amApr 12, 2019",העשבים כמעט חונקים חלקים מהסינגל. בקושי רואים מטר קדימה,Dry,view
1193,,The cliff,Zihron Ya'akov,"Apr 12, 2019 @ 2:38amApr 12, 2019",,Dry,view
1194,,Snail of a Rabit,Mishmar HaEmek,"Apr 11, 2019 @ 10:17pmApr 11, 2019",,Dry,view
1195,,Forest Road,Horeshan,"Apr 9, 2019 @ 4:25amApr 9, 2019",לא מעט שלוליות,Variable,view
1196,,Furadis Loop,Ofer Forest,"Apr 5, 2019 @ 10:12pmApr 5, 2019",,Dry,view
1197,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Apr 5, 2019 @ 10:12pmApr 5, 2019",,Dry,view
1198,,Carmel Coast  - Furadis Bat Shlomo,Ofer Forest,"Apr 5, 2019 @ 10:12pmApr 5, 2019",,Dry,view
1199,,Connector,Ofer Forest,"Apr 5, 2019 @ 10:12pmApr 5, 2019",,Dry,view
1200,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Apr 5, 2019 @ 10:12pmApr 5, 2019",,Dry,view
1201,,Reish La'Kish,Alon HaGalil,"Apr 4, 2019 @ 10:53pmApr 4, 2019","מעט רגעי בוץ, הרבה רגעי כיף",Variable,view
1202,,Offical Kfar Hahoresh,Kfar HaHoresh,"Apr 4, 2019 @ 10:09pmApr 4, 2019",,Dry,view
1203,,The Mad Cow,Kfar HaHoresh,"Apr 4, 2019 @ 10:09pmApr 4, 2019",,Dry,view
1204,,The Raging Bull,Kfar HaHoresh,"Apr 4, 2019 @ 10:09pmApr 4, 2019",,Dry,view
1205,,Caves,Kfar HaHoresh,"Apr 4, 2019 @ 10:09pmApr 4, 2019",,Dry,view
1206,,Mad Cow,Kfar HaHoresh,"Apr 4, 2019 @ 10:09pmApr 4, 2019",,Dry,view
1207,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Apr 2, 2019 @ 10:37amApr 2, 2019",,Unknown,view
1208,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Apr 2, 2019 @ 10:37amApr 2, 2019",,Unknown,view
1209,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Apr 2, 2019 @ 10:37amApr 2, 2019",,Very Dry,view
1210,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Apr 2, 2019 @ 10:37amApr 2, 2019",,Unknown,view
1211,,Snail of a Rabit,Mishmar HaEmek,"Mar 28, 2019 @ 10:31pmMar 28, 2019",,Wet,view
1212,,Aristo,Mishmar HaEmek,"Mar 28, 2019 @ 10:31pmMar 28, 2019",,Wet,view
1213,,Dan7,Mishmar HaEmek,"Mar 28, 2019 @ 10:31pmMar 28, 2019",,Wet,view
1214,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Mar 27, 2019 @ 4:27amMar 27, 2019",reporter,Dry,view
1215,,Bat Shlomo Loop,Ofer Forest,"Mar 27, 2019 @ 4:27amMar 27, 2019",reporter,Dry,view
1216,,Carmel Coast  - Furadis Bat Shlomo,Ofer Forest,"Mar 27, 2019 @ 4:27amMar 27, 2019",reporter,Variable,view
1217,,Thorns Ravine,Horeshan,"Mar 22, 2019 @ 5:25amMar 22, 2019",,Dry,view
1218,,Ehud 2,Horeshan,"Mar 22, 2019 @ 5:25amMar 22, 2019",,Variable,view
1219,,Pitel,Mishmar HaEmek,"Mar 22, 2019 @ 12:10amMar 22, 2019",,Variable,view
1220,,Pinky,Mishmar HaEmek,"Mar 22, 2019 @ 12:10amMar 22, 2019",,Dry,view
1221,,Tom's climb,Mishmar HaEmek,"Mar 22, 2019 @ 12:10amMar 22, 2019",,Dry,view
1222,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Mar 22, 2019 @ 12:10amMar 22, 2019",,Dry,view
1223,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Mar 20, 2019 @ 9:19pmMar 20, 2019",,Variable,view
1224,,Carmel Coast - Kerem Maharal to Zeitim,Ofer Forest,"Mar 20, 2019 @ 9:19pmMar 20, 2019",,Variable,view
1225,,Carmel Coast  - Furadis Bat Shlomo,Ofer Forest,"Mar 20, 2019 @ 9:19pmMar 20, 2019",,Variable,view
1226,,Fureidis Access,Zihron Ya'akov,"Mar 16, 2019 @ 4:44amMar 16, 2019",,Variable,view
1227,,Fureidis Exit,Zihron Ya'akov,"Mar 16, 2019 @ 4:44amMar 16, 2019",,Variable,view
1228,,Ehud 10,Horeshan,"Mar 15, 2019 @ 5:32amMar 15, 2019",,Variable,view
1229,,Reish La'Kish,Alon HaGalil,"Mar 9, 2019 @ 7:09amMar 9, 2019","מעבר מתחת לכביש מוצף, אך ניתן לעבור במעבר חציה",Dry,view
1230,,The Fence,Horeshan,"Mar 8, 2019 @ 11:08pmMar 8, 2019",,Variable,view
1231,,Aloney Yitshak West,Kfar Glikson,"Mar 8, 2019 @ 11:08pmMar 8, 2019",,Variable,view
1232,,Ehud 6,Horeshan,"Mar 8, 2019 @ 11:08pmMar 8, 2019",,Variable,view
1233,,Ehud 1,Horeshan,"Mar 8, 2019 @ 11:08pmMar 8, 2019",,Wet,view
1234,,Ehud 2,Horeshan,"Mar 8, 2019 @ 11:08pmMar 8, 2019",,Dry,view
1235,,Zeevik The Fox,Mishmar HaEmek,"Mar 8, 2019 @ 10:19pmMar 8, 2019",,Dry,view
1236,,Snail Hunting,Mishmar HaEmek,"Mar 8, 2019 @ 10:19pmMar 8, 2019",,Dry,view
1237,,Snail of a Rabit,Mishmar HaEmek,"Mar 8, 2019 @ 10:19pmMar 8, 2019",,Dry,view
1238,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Mar 8, 2019 @ 2:32amMar 8, 2019",,Variable,view
1239,,Raback,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1240,,Misgav KKL 06,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1241,,Misgav KKL 05,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1242,,Respect,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1243,,Cappuccino & Zuta,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1244,,Zohar,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1245,,Dreamer 2,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1246,,Kabush,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1247,,Dreamer 3,Misgav,"Mar 7, 2019 @ 11:02pmMar 7, 2019",,Dry,view
1248,,Shortish to the Parliament,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1249,,Ehud 3,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1250,,A Lost Double,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1251,,Joel,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1252,,Ehud 3 extension,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1253,,Colourfull Movie,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1254,,Forest Road,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Wet,view
1255,,Hunters - Ehud 4,Horeshan,"Mar 1, 2019 @ 10:26pmMar 1, 2019",,Prevalent Mud,view
1256,,The Orange,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1257,,Motorbikes North,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1258,,Rocks,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1259,,The Peak,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1260,,Cyprus Liar switch,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1261,,Forest Road,Israel,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1262,,S's On The Black,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1263,,Forest Road,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1264,,Shorty,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1265,,Orange Connection,Horeshan,"Mar 1, 2019 @ 3:17amMar 1, 2019",,Variable,view
1266,,Alon HaGalil,Alon HaGalil,"Feb 22, 2019 @ 2:12amFeb 22, 2019",,Variable,view
1267,,Alon Ha'Galil Extension,Alon HaGalil,"Feb 21, 2019 @ 10:15pmFeb 21, 2019",,Variable,view
1268,,Forest Road,Misgav,"Feb 5, 2019 @ 5:50amFeb 5, 2019",,Dry,view
1269,,Zeevik The Fox,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1270,,Snail Hunting,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1271,,Forest Road,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1272,,Snail of a Rabit,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1273,,Forest Road,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1274,,Butterflies,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1275,,Aristo,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1276,,Tom's climb,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1277,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Variable,view
1278,,Dan7,Mishmar HaEmek,"Feb 1, 2019 @ 10:37pmFeb 1, 2019",,Dry,view
1279,,Ethiopia,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Dry,view
1280,,Georgie,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Variable,view
1281,,The Peak,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Dry,view
1282,,S's On The Black,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Dry,view
1283,,Sri Lanka,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Variable,view
1284,,Orange Connection,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Dry,view
1285,,New Zealand - The Jungle,Horeshan,"Feb 1, 2019 @ 10:09pmFeb 1, 2019",reporter,Variable,view
1286,,Paradise,Horeshan,"Jan 31, 2019 @ 10:48pmJan 31, 2019",כמעט יבש,Variable,view
1287,,Ehud 6,Horeshan,"Jan 31, 2019 @ 10:48pmJan 31, 2019",כמעט יבש,Variable,view
1288,,Ehud 1,Horeshan,"Jan 31, 2019 @ 10:48pmJan 31, 2019",שלוליות ובוץ בחלק העליוןחלקים מהסינגל מחורצים,Wet,view
1289,,Aloney Yitshak West,Kfar Glikson,"Jan 27, 2019 @ 6:43amJan 27, 2019",כמה שלוליות בוץ. חוץ מזה מצויןfew muddy spots,Variable,view
1290,,Forest tour,Ofer Forest,"Jan 26, 2019 @ 6:46amJan 26, 2019",Trail is not always easy to find due to forest work,Dry,view
1291,,Rabbit - Upper,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1292,,Stepup Descent,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1293,,Forest Road,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Dry,view
1294,,Skulls,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1295,,Berms,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1296,,Gozemet,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1297,,Dushbag,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1298,,Forest tour,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1299,,Bathroom,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1300,,Rock Shelf,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1301,,Forest Road,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Dry,view
1302,,Burial Cave,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1303,,Rabbit - Lower,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1304,,The Black,Ofer Forest,"Jan 26, 2019 @ 3:58amJan 26, 2019",,Variable,view
1305,,Snail Hunting,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Variable,view
1306,,Snail of a Rabit,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Variable,view
1307,,Forest Road,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Dry,view
1308,,Tom's climb,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Dry,view
1309,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Variable,view
1310,,Yossi #2,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Variable,view
1311,,Dan7,Mishmar HaEmek,"Jan 26, 2019 @ 1:53amJan 26, 2019",,Variable,view
1312,,Flat Tyre,Misgav,"Jan 25, 2019 @ 11:28pmJan 25, 2019",Perfect conditions reporter,Dry,view
1313,,Horshat Dgania,Hanita,"Jan 25, 2019 @ 9:25pmJan 25, 2019",,Dry,view
1314,,Har Porehach,Hanita,"Jan 25, 2019 @ 9:25pmJan 25, 2019",,Dry,view
1315,,Misgav KKL 09,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1316,,Misgav KKL 07,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1317,,Misgav KKL 06,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1318,,Misgav KKL 05,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1319,,Misgav KKL 04,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1320,,Misgav KKL 03,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1321,,Misgav KKL 02,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1322,,Misgav KKL 01,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1323,,Respect,Misgav,"Jan 24, 2019 @ 9:01pmJan 24, 2019",reporter,Dry,view
1324,,Shimshit,Alon HaGalil,"Jan 22, 2019 @ 11:07amJan 22, 2019",,Dry,view
1325,,HaSolelim,Alon HaGalil,"Jan 22, 2019 @ 11:07amJan 22, 2019",,Variable,view
1326,,Kiryat Ata official,Kiryat Ata Forest,"Jan 22, 2019 @ 4:15amJan 22, 2019",optimal conditions like riding in heaven,Variable,view
1327,,Paradise,Horeshan,"Jan 19, 2019 @ 3:55amJan 19, 2019",,Wet,view
1328,,Ehud 6,Horeshan,"Jan 19, 2019 @ 3:55amJan 19, 2019",,Wet,view
1329,,Ehud 1,Horeshan,"Jan 19, 2019 @ 3:55amJan 19, 2019",,Wet,view
1330,,Nahal Kelah,Mt. Carmel National Park,"Jan 18, 2019 @ 10:47pmJan 18, 2019",,Variable,view
1331,,Forest Road,The Forester's House,"Jan 18, 2019 @ 10:47pmJan 18, 2019",,Dry,view
1332,,Pensioners,Mt. Carmel National Park,"Jan 18, 2019 @ 10:47pmJan 18, 2019",,Dry,view
1333,,Descent to the Hai-Bar,Mt. Carmel National Park,"Jan 18, 2019 @ 10:45pmJan 18, 2019",,Dry,view
1334,,Aristo,Mishmar HaEmek,"Jan 18, 2019 @ 1:11amJan 18, 2019",,Wet,view
1335,,Tom's climb,Mishmar HaEmek,"Jan 18, 2019 @ 1:11amJan 18, 2019",,Wet,view
1336,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Jan 18, 2019 @ 1:11amJan 18, 2019",,Wet,view
1337,,Yossi #2,Mishmar HaEmek,"Jan 18, 2019 @ 1:11amJan 18, 2019",,Wet,view
1338,,Dan7,Mishmar HaEmek,"Jan 18, 2019 @ 1:11amJan 18, 2019",,Wet,view
1339,,Old Hai Bar,Mt. Carmel National Park,"Jan 17, 2019 @ 9:03pmJan 17, 2019",,Dry,view
1340,,Descent to the Hai-Bar,Mt. Carmel National Park,"Jan 17, 2019 @ 9:03pmJan 17, 2019",,Wet,view
1341,,Nahal Kelah,Mt. Carmel National Park,"Jan 17, 2019 @ 9:03pmJan 17, 2019",,Variable,view
1342,,Shokef,Mt. Carmel National Park,"Jan 17, 2019 @ 9:03pmJan 17, 2019",,Wet,view
1343,,Nahal Kelah,Mt. Carmel National Park,"Jan 17, 2019 @ 4:10amJan 17, 2019",,Wet,view
1344,,Descent to the Hai-Bar,Mt. Carmel National Park,"Jan 17, 2019 @ 1:20amJan 17, 2019",,Wet,view
1345,,Petra/ The Eagle,Mishmar HaEmek,"Jan 11, 2019 @ 11:12pmJan 11, 2019",,Variable,view
1346,,Tom's climb,Mishmar HaEmek,"Jan 11, 2019 @ 11:12pmJan 11, 2019",,Dry,view
1347,,Yossi #2,Mishmar HaEmek,"Jan 11, 2019 @ 11:12pmJan 11, 2019",,Variable,view
1348,,Dan7,Mishmar HaEmek,"Jan 11, 2019 @ 11:12pmJan 11, 2019",,Variable,view
1349,,The Back Door,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1350,,Ehud 3,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1351,,Joel,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1352,,Ehud 3 extension,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1353,,Colourfull Movie,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Prevalent Mud,view
1354,,Hunters - Ehud 4,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1355,,Ehud 6,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1356,,Ehud 1,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1357,,Ehud 10,Horeshan,"Jan 11, 2019 @ 3:33amJan 11, 2019",,Variable,view
1358,,Petra/ The Eagle,Mishmar HaEmek,"Jan 4, 2019 @ 10:55pmJan 4, 2019",,Dry,view
1359,,Pitel,Mishmar HaEmek,"Jan 4, 2019 @ 10:55pmJan 4, 2019",,Variable,view
1360,,Tom's climb,Mishmar HaEmek,"Jan 4, 2019 @ 10:55pmJan 4, 2019",,Variable,view
1361,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Jan 4, 2019 @ 10:55pmJan 4, 2019",,Variable,view
1362,,Active Bar,Horeshan,"Jan 4, 2019 @ 9:06pmJan 4, 2019",the trail is neglected reporter,Variable,view
1363,,Across The Hill,Horeshan,"Jan 4, 2019 @ 9:06pmJan 4, 2019",reporter,Variable,view
1364,,The Orange,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1365,,Motorbikes North,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1366,,Ethiopia,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1367,,The Peak,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1368,,Cyprus Liar switch,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1369,,S's On The Black,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1370,,Forest Road,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1371,,Orange Connection,Horeshan,"Dec 21, 2018 @ 3:34amDec 21, 2018",,Wet,view
1372,,Ahihud,Ahihud Forest,"Dec 14, 2018 @ 9:13pmDec 14, 2018",,Dry,view
1373,,Carmel Scenic Route,Haifa,"Dec 13, 2018 @ 10:21pmDec 13, 2018",,Variable,view
1374,,Forest Road,The Forester's House,"Dec 13, 2018 @ 8:38pmDec 13, 2018",,Dry,view
1375,,Monsters,The Forester's House,"Dec 13, 2018 @ 8:38pmDec 13, 2018",some areas are wet with slippery rocks and some are dry,Variable,view
1376,,The Orange,Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1377,,Motorbikes North,Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1378,,Forest Road,Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1379,,Forest Road,Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1380,,S's to New Zealand,Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1381,,Forest Road (HaNasham),Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1382,,Orange Connection,Horeshan,"Nov 29, 2018 @ 8:19pmNov 29, 2018",,Variable,view
1383,,Starter,Mishmar HaEmek,"Nov 23, 2018 @ 9:28pmNov 23, 2018",reporter,Variable,view
1384,,Anaconda,Mishmar HaEmek,"Nov 23, 2018 @ 9:28pmNov 23, 2018",reporter,Wet,view
1385,,Carobs,Mishmar HaEmek,"Nov 23, 2018 @ 9:28pmNov 23, 2018",reporter,Wet,view
1386,,Bones,Mishmar HaEmek,"Nov 23, 2018 @ 9:28pmNov 23, 2018",reporter,Wet,view
1387,,Nettles,Mishmar HaEmek,"Nov 23, 2018 @ 9:28pmNov 23, 2018",reporter,Variable,view
1388,,Terraces,The Forester's House,"Nov 22, 2018 @ 11:23pmNov 22, 2018",,Prevalent Mud,view
1389,,The Foresters,The Forester's House,"Nov 22, 2018 @ 11:23pmNov 22, 2018",,Prevalent Mud,view
1390,,Eucalyptus,The Forester's House,"Nov 22, 2018 @ 11:23pmNov 22, 2018",,Wet,view
1391,,Monsters,The Forester's House,"Nov 22, 2018 @ 11:23pmNov 22, 2018",,Wet,view
1392,,Agency,The Forester's House,"Nov 22, 2018 @ 11:23pmNov 22, 2018",,Wet,view
