שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,pop,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,coords,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,name,אשכול רשויות מקומיות,c_str,lon,lat,lonlat,distance,duration,g_orig,g_dest,crow_dist,speed,ratio,mode
כפר קיש,388,KEFAR KISCH,2,הצפון,22,כנרת,222.0,3.0,מועצה אזורית הגליל התחתון,,1.0,685.0,678.0,674.0,7.0,1946,310,1.0,2424073031.0,85.0,206.0,10004394.0,2021,Kefar Kisch,214.0,2424073031,35.44903292504755,32.666989543024364,"32.6670,35.4490",65329,3230,"Haifa, Israel","Kfar Kish A, Kfar Kisch, Israel",43897.434521573465,48.92593321289922,0.6719440757025741,driving
כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT),2,הצפון,24,עכו,244.0,52.0,מועצה אזורית מעלה יוסף,,1.0,237.0,237.0,237.0,0.0,1967,310,1.0,2272977831.0,620.0,255.0,10004302.0,2021,Kefar Rozenwald(Zarit),212.0,2272977831,35.28835964216198,33.100007477975346,"33.1000,35.2884",65033,3755,"Haifa, Israel","11, Zar'it, Israel",42048.38021181021,40.312694743679565,0.6465698985408979,driving
כפר רופין,295,KEFAR RUPPIN,2,הצפון,23,יזרעאל,231.0,7.0,מועצה אזורית עמק המעיינות,,1.0,526.0,525.0,515.0,1.0,1938,330,15.0,2525770713.0,-246.0,202.0,10004568.0,2021,Kefar Ruppin,214.0,2525770713,35.55663142100937,32.45771451780915,"32.4577,35.5566",79046,4312,"Haifa, Israel","Kibbutz Kfar Rupin, Kfar Ruppin, Israel",64120.7396626687,53.53308506159724,0.811182598267701,driving
כפר רות,1166,KEFAR RUT,4,המרכז,43,רמלה,431.0,25.0,מועצה אזורית חבל מודיעין,142.0,1.0,285.0,285.0,278.0,0.0,1977,310,1.0,2030264634.0,286.0,424.0,10002277.0,2021,Kefar Rut,,2030264634,35.03067078931664,31.909894336756665,"31.9099,35.0307",119345,4844,"Haifa, Israel","6, Kfar Rut",99386.2210421072,73.86259202138437,0.8327640122510972,driving
כפר שמאי,605,KEFAR SHAMMAY,2,הצפון,21,צפת,212.0,2.0,מועצה אזורית מרום הגליל,,1.0,575.0,575.0,575.0,0.0,1949,310,2.0,2430876244.0,637.0,209.0,10004528.0,2021,Kefar Shammay,211.0,2430876244,35.4571005992288,32.95668643934855,"32.9567,35.4571",60820,3435,"Haifa, Israel","Synagogue, Kfar Shamai, Israel",45207.34062368072,47.378872269359704,0.743297280889193,driving
כפר שמואל,743,KEFAR SHEMU'EL,4,המרכז,43,רמלה,432.0,30.0,מועצה אזורית גזר,143.0,1.0,969.0,968.0,949.0,1.0,1950,310,6.0,1937164417.0,107.0,426.0,10002228.0,2021,Kefar Shemu'el,,1937164417,34.93230087327939,31.89015230456098,"31.8902,34.9323",122477,4886,"Haifa, Israel","Derech HaZayit 48, Kfar Shmu'el, Israel",101812.99245778435,75.01571282194509,0.8312825465824959,driving
כרכום,1285,KARKOM,2,הצפון,21,צפת,213.0,55.0,מועצה אזורית מבואות החרמון,,1.0,517.0,515.0,502.0,2.0,1988,370,13.0,2571975949.0,96.0,253.0,10004540.0,2021,Karkom,211.0,2571975949,35.6078860657358,32.929691328589165,"32.9297,35.6079",86409,3987,"Haifa, Israel","Karkum Center, Karkom, Israel",57697.05800512947,52.09666637032006,0.667720468991997,driving
כרם בן זמרה,664,KEREM BEN ZIMRA,2,הצפון,21,צפת,212.0,2.0,מועצה אזורית מרום הגליל,,1.0,529.0,529.0,528.0,0.0,1949,310,2.0,2440077147.0,822.0,209.0,10004528.0,2021,Kerem Ben Zimra,211.0,2440077147,35.46718128482574,33.038085776423095,"33.0381,35.4672",76195,4362,"Haifa, Israel","Tirosh St 51, Kerem Ben Zimra, Israel",50119.94141481373,41.36446334097419,0.6577851750746602,driving
כרם יבנה (ישיבה),1094,KEREM YAVNE(YESHIVA),4,המרכז,44,רחובות,441.0,29.0,מועצה אזורית חבל יבנה,143.0,1.0,538.0,538.0,538.0,0.0,1963,340,,1738163628.0,50.0,456.0,10001821.0,2021,Kerem Yavne(Yeshiva),420.0,1738163628,34.72233217842856,31.81837617349218,"31.8184,34.7223",127612,5376,"Haifa, Israel","קבוצת יבנה 5, Kvutsat Yavneh, Israel",112797.65262793667,75.53414238477903,0.8839110164242914,driving
"כרם מהר""ל",580,KEREM MAHARAL,3,חיפה,32,חדרה,322.0,15.0,מועצה אזורית חוף הכרמל,243.0,1.0,767.0,758.0,746.0,9.0,1949,310,1.0,1993872798.0,93.0,303.0,10004333.0,2021,Kerem Maharal,,1993872798,34.99046673901472,32.64603569020028,"32.6460,34.9905",29572,1807,"Haifa, Israel","39, Kerem Maharal, Israel",17592.135897894477,35.047974118660825,0.5948916508147734,driving
כרם שלום,1085,KEREM SHALOM,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,194.0,184.0,176.0,10.0,1956,330,15.0,1317857105.0,87.0,651.0,10001893.0,2021,Kerem Shalom,620.0,1317857105,34.284240479119596,31.22770298671354,"31.2277,34.2842",214755,9280,"Haifa, Israel","מבנה מזכירות הקיבוץ, Kerem Shalom, Israel",188060.46271797473,72.95448984749021,0.8756977146887138,driving
כרמי צור,3766,KARME ZUR,7,אזור יהודה ושומרון,77,חברון,,76.0,מועצה אזורית גוש עציון,,1.0,964.0,964.0,962.0,0.0,1984,370,2.0,2096161296.0,935.0,714.0,15000586.0,2021,Karme Zur,,2096161296,35.100678448520036,31.60893554766443,"31.6089,35.1007",173789,7639,"Haifa, Israel","Sports Field, Karmei Zur",133111.59737131753,62.73095307458347,0.765937990156555,driving
כרמי קטיף,1374,KARME KATIF,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,649.0,649.0,649.0,0.0,2016,370,,1916760508.0,338.0,634.0,10001813.0,2021,Karme Katif,,1916760508,34.91184717950851,31.537575728608918,"31.5376,34.9118",166863,6456,"Haifa, Israel","הגפן 2, Israel",141059.32412863174,78.65761568511064,0.8453601105615489,driving
כרמייה,768,KARMIYYA,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,651.0,651.0,627.0,0.0,1950,330,15.0,1565861272.0,29.0,633.0,10001829.0,2021,Karmiyya,620.0,1565861272,34.54187330603293,31.6050951561621,"31.6051,34.5419",154925,6745,"Haifa, Israel","Unnamed Road, Karmia, Israel",140307.4345784724,74.88610296256496,0.9056474718636269,driving
כרמים,1198,KERAMIM,6,הדרום,62,באר שבע,623.0,41.0,מועצה אזורית בני שמעון,341.0,1.0,526.0,526.0,526.0,0.0,1980,330,15.0,1922058248.0,404.0,625.0,10001937.0,2021,Keramim,620.0,1922058248,34.91804834761289,31.333763915728344,"31.3338,34.9180",196270,7442,"Haifa, Israel","קיבוץ, Kramim, Israel",163650.4063443089,79.16439973656438,0.8338024473648998,driving
כרמל,3656,KARMEL,7,אזור יהודה ושומרון,77,חברון,,78.0,מועצה אזורית הר חברון,,1.0,467.0,467.0,467.0,0.0,1981,320,11.0,2173959328.0,711.0,715.0,15003512.0,2021,Karmel,710.0,2173959328,35.18270637885441,31.43148630568348,"31.4315,35.1827",221854,8825,"Haifa, Israel","Karmel/Exit, Carmel",153439.1227693616,62.59272996823817,0.6916220702325024,driving
לבון,1207,LAVON,2,הצפון,24,עכו,243.0,56.0,מועצה אזורית משגב,,1.0,727.0,726.0,710.0,1.0,1980,350,,2271676084.0,566.0,205.0,15002358.0,2021,Lavon,210.0,2271676084,35.286820337371616,32.94248804290768,"32.9425,35.2868",50871,2797,"Haifa, Israel","Bareket St 7, Lavon, Israel",30226.217252067105,38.90396214066556,0.5941738368042128,driving
לביא,585,LAVI,2,הצפון,22,כנרת,222.0,3.0,מועצה אזורית הגליל התחתון,,1.0,616.0,616.0,615.0,0.0,1949,330,3.0,2417174366.0,299.0,206.0,10004552.0,2021,Lavi,214.0,2417174366,35.44199627000182,32.78738031176307,"32.7874,35.4420",53906,2622,"Haifa, Israel","כביש פנימי 1, Lavi, Israel",40543.488268016124,55.66611661512511,0.752114574778617,driving
לבנים,1230,LIVNIM,2,הצפון,21,צפת,214.0,2.0,מועצה אזורית מרום הגליל,,1.0,473.0,472.0,450.0,1.0,1982,310,1.0,2466175214.0,-54.0,209.0,10004552.0,2021,Livnim,211.0,2466175214,35.494551090366,32.86373261944161,"32.8637,35.4946",80780,3828,"Haifa, Israel","HaArazim St 67, Livnim, Israel",45888.04247644656,43.15489888067074,0.5680619271657162,driving
להב,2023,LAHAV,6,הדרום,62,באר שבע,623.0,41.0,מועצה אזורית בני שמעון,341.0,1.0,656.0,655.0,646.0,1.0,1952,330,15.0,1875158754.0,455.0,625.0,10001937.0,2021,Lahav,620.0,1875158754,34.86860734600224,31.379279916115348,"31.3793,34.8686",184035,6991,"Haifa, Israel","Lahav/Dining Room, Lahav, Israel",158914.99607896994,81.83292603122469,0.863504203433966,driving
להבות הבשן,380,LAHAVOT HABASHAN,2,הצפון,21,צפת,211.0,1.0,מועצה אזורית הגליל העליון,,1.0,922.0,919.0,859.0,3.0,1945,330,15.0,2607878299.0,88.0,253.0,10004591.0,2021,Lahavot HaBashan,211.0,2607878299,35.64732791107292,33.14144552086728,"33.1414,35.6473",108189,5034,"Haifa, Israel","Lahavot HaBashan/Center, Lehavot HaBashan, Israel",70437.92178566671,50.37276885744938,0.651063618165125,driving
לוזית,52,LUZIT,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,,1.0,862.0,860.0,845.0,2.0,1955,310,1.0,1893162164.0,190.0,151.0,15000597.0,2021,Luzit,,1893162164,34.886489267349525,31.686862936957425,"31.6869,34.8865",156790,6401,"Haifa, Israel","199, Luzit, Israel",124695.18834979013,70.13008562087869,0.7953006464046822,driving
לוחמי הגיטאות,595,LOHAME HAGETA'OT,2,הצפון,24,עכו,245.0,4.0,מועצה אזורית מטה אשר,241.0,1.0,816.0,816.0,795.0,0.0,1949,330,15.0,2095076319.0,17.0,201.0,10004302.0,2021,Lohame HaGeta'ot,212.0,2095076319,35.09794815143159,32.963659156489854,"32.9637,35.0979",28889,1701,"Haifa, Israel","דרך המייסדים, Lohamei HaGeta'ot, Israel",19663.381512755484,41.61562224921796,0.6806528960073206,driving
לוטם,1171,LOTEM,2,הצפון,24,עכו,242.0,56.0,מועצה אזורית משגב,,1.0,783.0,726.0,716.0,57.0,1978,330,15.0,2337775423.0,315.0,205.0,10004513.0,2021,Lotem,210.0,2337775423,35.35740150758585,32.88282068512454,"32.8828,35.3574",48606,3371,"Haifa, Israel","Klil 14א, Lotem, Israel",33751.85737101184,36.04470084118738,0.6943969339384406,driving
לוטן,1255,LOTAN,6,הדרום,62,באר שבע,625.0,53.0,מועצה אזורית חבל אילות,,1.0,202.0,202.0,181.0,0.0,1983,330,15.0,2081343322.0,123.0,608.0,10001955.0,2021,Lotan,610.0,2081343322,35.08706737963249,29.98770924736233,"29.9877,35.0871",377536,14839,"Haifa, Israel","Lotan, Lotan, Israel",313190.3367182243,75.98121249313347,0.8295641653199278,driving
לימן,674,LIMAN,2,הצפון,24,עכו,245.0,4.0,מועצה אזורית מטה אשר,241.0,1.0,674.0,673.0,648.0,1.0,1949,310,1.0,2108977386.0,15.0,201.0,10004302.0,2021,Liman,212.0,2108977386,35.11271609766233,33.05987840727644,"33.0599,35.1127",41222,2586,"Haifa, Israel","HaGefen/Kindergarten, Liman, Israel",30116.149315897972,41.92503385043801,0.7305843800858273,driving
לכיש,24,LAKHISH,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,800.0,800.0,787.0,0.0,1955,310,1.0,1850560772.0,247.0,634.0,10001813.0,2021,Lakhish,,1850560772,34.8420468528968,31.561206268967055,"31.5612,34.8420",158935,6051,"Haifa, Israel","14, Lachish, Israel",139024.16491512765,82.7114516103883,0.8747234084067553,driving
לפידות,1173,LAPPIDOT,2,הצפון,24,עכו,243.0,52.0,מועצה אזורית מעלה יוסף,,1.0,129.0,129.0,122.0,0.0,1978,310,1.0,2248276265.0,470.0,255.0,10004484.0,2021,Lappidot,212.0,2248276265,35.26180815788475,32.95882231669848,"32.9588,35.2618",52477,2857,"Haifa, Israel","10, Lapidot, Israel",29275.573457984825,36.889067010411395,0.5578743727344327,driving
מאיר שפיה,102,ME'IR SHEFEYA,3,חיפה,32,חדרה,322.0,15.0,מועצה אזורית חוף הכרמל,,1.0,352.0,317.0,193.0,35.0,1923,340,,1975672190.0,107.0,303.0,10004333.0,2021,Me'ir Shefeya,,1975672190,34.97121139471132,32.591176951022874,"32.5912,34.9712",35590,1853,"Haifa, Israel","Unnamed Road, Israel",23868.309713758674,46.37124391232122,0.6706465218813901,driving
מבוא דותן,3569,MEVO DOTAN,7,אזור יהודה ושומרון,71,ג'נין,,72.0,מועצה אזורית שומרון,,1.0,509.0,509.0,505.0,0.0,1978,370,11.0,2166670298.0,314.0,710.0,15004488.0,2021,Mevo Dotan,710.0,2166670298,35.174711968299924,32.420781161922726,"32.4208,35.1747",67649,3499,"Haifa, Israel","מבוא דותן, ישראל, C5CF+9RQ, Mevo Dotan",45309.440972461714,46.61731566186401,0.6697725165554808,driving
מבוא חמה,4204,MEVO HAMMA,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,459.0,459.0,449.0,0.0,1968,330,15.0,2617273821.0,348.0,219.0,10004579.0,2021,Mevo Hamma,211.0,2617273821,35.655348252859646,32.7376518889771,"32.7377,35.6553",91542,4826,"Haifa, Israel","4, Mevo Hama, 1293400",60904.75818415,45.43247605945711,0.6653203795432697,driving
מבוא מודיעים,1141,MEVO MODI'IM,4,המרכז,43,רמלה,431.0,25.0,מועצה אזורית חבל מודיעין,142.0,1.0,247.0,247.0,246.0,0.0,1964,370,8.0,1989264896.0,208.0,424.0,10002277.0,2021,Mevo Modi'im,,1989264896,34.987269029083286,31.93345521772637,"31.9335,34.9873",114657,4756,"Haifa, Israel","7, Mevo Modi'im, Israel",96765.75220144838,73.24573337367833,0.8439585215158986,driving
מבואות ים,1318,MEVO'OT YAM,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,365.0,364.0,338.0,1.0,1954,340,,1878270108.0,3.0,409.0,15000060.0,2021,Mevo'ot Yam,,1878270108,34.86816582761742,32.40320287775652,"32.4032,34.8682",56369,2546,"Haifa, Israel","בי''ס מבואות ים, Mihmoret, Israel",46416.31994980392,65.6318742416709,0.8234369946212265,driving
מבואות יריחו,3825,MEVO'OT YERIHO,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,228.0,228.0,228.0,0.0,2019,370,,2396664589.0,-103.0,712.0,10003299.0,2021,Mevo'ot Yeriho,,2396664589,35.41803088864471,31.905775303362976,"31.9058,35.4180",150328,7804,"Haifa, Israel","Mevo'ot Yeriho, Mevo'ot Yericho",106972.39774525391,49.346569949117644,0.7115933009502815,driving
מבטחים,829,MIVTAHIM,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,463.0,463.0,457.0,0.0,1950,310,1.0,1435757236.0,129.0,651.0,10001893.0,2021,Mivtahim,620.0,1435757236,34.407871443159344,31.240342754145473,"31.2403,34.4079",202897,8801,"Haifa, Israel","40, Mivtahim, Israel",182810.1507902988,74.7774733376975,0.9009997722504463,driving
מבקיעים,573,MAVQI'IM,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,508.0,508.0,498.0,0.0,1949,310,6.0,1599161459.0,57.0,633.0,10001829.0,2021,Mavqi'im,620.0,1599161459,34.576848631352796,31.62213616685577,"31.6221,34.5768",150223,6530,"Haifa, Israel","243, Mavki'im, Israel",137499.98199750797,75.80397169847299,0.9153057920392215,driving
מגדל עוז,3561,MIGDAL OZ,7,אזור יהודה ושומרון,76,בית לחם,,76.0,מועצה אזורית גוש עציון,445.0,1.0,566.0,566.0,565.0,0.0,1977,330,3.0,2135961641.0,939.0,714.0,15000586.0,2021,Migdal Oz,,2135961641,35.14259976169509,31.64007696291817,"31.6401,35.1426",167405,7223,"Haifa, Israel","J4RV+338, Migdal Oz",129979.06026203981,64.78258575984263,0.7764347556049092,driving
מגדלים,3751,MIGDALIM,7,אזור יהודה ושומרון,72,שכם,,72.0,מועצה אזורית שומרון,,1.0,543.0,543.0,530.0,0.0,1983,370,11.0,2324866637.0,775.0,710.0,15004488.0,2021,Migdalim,710.0,2324866637,35.342401644037594,32.09057036081164,"32.0906,35.3424",133445,5702,"Haifa, Israel","38QV+W22, Migdalim",85235.67737653603,53.81417722825845,0.6387326417365659,driving
מגידו,586,MEGIDDO,2,הצפון,23,יזרעאל,234.0,13.0,מועצה אזורית מגידו,,1.0,858.0,858.0,843.0,0.0,1949,330,15.0,2171372068.0,153.0,254.0,10004411.0,2021,Megiddo,213.0,2171372068,35.179665110875376,32.58038985654793,"32.5804,35.1797",34853,2028,"Haifa, Israel","HaGanim St, Megiddo, Israel",29522.015795000007,52.40594519822486,0.8470437493185667,driving
מגן,695,MAGEN,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,537.0,529.0,485.0,8.0,1949,330,15.0,1454357893.0,119.0,651.0,10001893.0,2021,Magen,620.0,1454357893,34.42690833600226,31.299712408545524,"31.2997,34.4269",195003,8427,"Haifa, Israel","Unnamed Road, Magen, Israel",175972.24389774236,75.17504189294796,0.9024078803800063,driving
מגן שאול,1155,MAGEN SHA'UL,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,734.0,734.0,589.0,0.0,1976,310,1.0,2291471412.0,83.0,204.0,10004394.0,2021,Magen Sha'ul,213.0,2291471412,35.307507314089314,32.52119649690186,"32.5212,35.3075",54151,3034,"Haifa, Israel","Magen Sha'ul, Magen Shaul, Israel",42047.3188533887,49.89134735405383,0.7764827769272719,driving
מדרך עוז,2029,MIDRAKH OZ,2,הצפון,23,יזרעאל,234.0,13.0,מועצה אזורית מגידו,,1.0,828.0,828.0,751.0,0.0,1952,310,1.0,2151572230.0,128.0,254.0,10004411.0,2021,Midrakh Oz,213.0,2151572230,35.15857011865957,32.5949918845242,"32.5950,35.1586",31643,1844,"Haifa, Israel","215, Midrakh Oz, Israel",27098.14246600884,52.90309808982204,0.8563708392380255,driving
מדרשת רופין,897,MIDRESHET RUPPIN,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,228.0,119.0,115.0,109.0,1948,340,,1919269429.0,25.0,409.0,15000060.0,2021,Midreshet Ruppin,,1919269429,34.91194310180419,32.34208315610079,"32.3421,34.9119",60810,3243,"Haifa, Israel","מכללת רופין בית יד לבנים (בניין הספריה עמק חפר, Israel",52101.91928108361,57.837468212118715,0.8567985410472555,driving
מורן,1163,MORAN,2,הצפון,24,עכו,242.0,56.0,מועצה אזורית משגב,,1.0,497.0,493.0,481.0,4.0,1977,330,15.0,2371675853.0,326.0,205.0,10004465.0,2021,Moran,210.0,2371675853,35.39371038774751,32.92154316462639,"32.9215,35.3937",54216,3086,"Haifa, Israel","HaTamar St, Moran, Israel",38283.64000950299,44.660111482245874,0.7061317693946988,driving
מזרע,104,MIZRA,2,הצפון,23,יזרעאל,234.0,9.0,מועצה אזורית עמק יזרעאל,,1.0,792.0,792.0,768.0,0.0,1923,330,15.0,2271472850.0,98.0,254.0,10004394.0,2021,Mizra,213.0,2271472850,35.28633861706423,32.65088017644788,"32.6509,35.2863",45200,2714,"Haifa, Israel","Unnamed Road, Mizra, Israel",31026.896267749376,41.15579460718414,0.6864357581360482,driving
מחולה,3599,MEHOLA,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,649.0,649.0,648.0,0.0,1968,310,2.0,2486669692.0,-176.0,712.0,10003299.0,2021,Mehola,710.0,2486669692,35.51473076048061,32.36575657376981,"32.3658,35.5147",87918,4879,"Haifa, Israel","5 St, Mehola",67951.14234822446,50.13816611059808,0.7728922672060836,driving
מחנה יתיר,1196,MAHANE YATTIR,6,הדרום,62,באר שבע,623.0,,חסר מעמד מוניציפלי,,1.0,304.0,283.0,283.0,21.0,1979,350,,2057258396.0,652.0,699.0,10001937.0,2021,Mahane Yattir,,2057258396,35.06008696649004,31.347350311688864,"31.3474,35.0601",213701,8199,"Haifa, Israel","דוד המלך 12, Israel",161989.22836016753,71.1258960966707,0.7580181110999366,driving
מחניים,308,MAHANAYIM,2,הצפון,21,צפת,213.0,1.0,מועצה אזורית הגליל העליון,,1.0,815.0,814.0,798.0,1.0,1939,330,15.0,2536376606.0,263.0,253.0,10004540.0,2021,Mahanayim,211.0,2536376606,35.570067487311746,32.98904705218492,"32.9890,35.5701",87503,4075,"Haifa, Israel","111, Mahanayim, 1231500, Israel",56329.50007910947,49.76348473246481,0.6437436439791718,driving
מחסיה,776,MAHSEYA,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,493.0,493.0,492.0,0.0,1950,310,2.0,2007762837.0,251.0,151.0,15000597.0,2021,Mahseya,,2007762837,35.00722797123689,31.747801009031576,"31.7478,35.0072",139106,5483,"Haifa, Israel","93, Mahseya, Israel",117388.76475713382,77.07451269846466,0.843879953108664,driving
מטע,822,MATTA,1,ירושלים,11,ירושלים,111.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,961.0,959.0,936.0,2.0,1950,310,1.0,2059662505.0,603.0,151.0,15000597.0,2021,Matta,,2059662505,35.0620480877096,31.717932741133133,"31.7179,35.0620",150894,6224,"Haifa, Israel","HaEla St 26, Mata, Israel",120814.19006848925,69.87967291879198,0.8006560238875584,driving
מי עמי,1128,ME AMMI,3,חיפה,32,חדרה,323.0,14.0,מועצה אזורית מנשה,,1.0,363.0,363.0,357.0,0.0,1963,320,6.0,2141671229.0,462.0,351.0,10004249.0,2021,Me Ammi,,2141671229,35.14808102810545,32.50472437028775,"32.5047,35.1481",50250,2934,"Haifa, Israel","הבוסתן 7, Mei Ami, Israel",35694.448620133895,43.79686947255693,0.7103372859728139,driving
מיטב,2054,METAV,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,460.0,460.0,453.0,0.0,1954,310,1.0,2285071685.0,72.0,204.0,10004394.0,2021,Metav,213.0,2285071685,35.30072188254737,32.54581918042083,"32.5458,35.3007",49636,2836,"Haifa, Israel","11, Meitav, Israel",39601.01976218074,50.26927755424917,0.7978285873595926,driving
מיצר,4019,MEZAR,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,324.0,324.0,319.0,0.0,1981,310,15.0,2692674150.0,359.0,219.0,10004579.0,2021,Mezar,211.0,2692674150,35.735965197407594,32.767001422004085,"32.7670,35.7360",101843,5267,"Haifa, Israel","Meitsar, Meitsar",68110.28201751232,46.553448882294354,0.6687772553588595,driving
מירב,1282,MERAV,2,הצפון,23,יזרעאל,231.0,7.0,מועצה אזורית עמק המעיינות,,1.0,744.0,744.0,744.0,0.0,1987,330,3.0,2399270655.0,394.0,202.0,10004568.0,2021,Merav,214.0,2399270655,35.422077099499,32.452788906944825,"32.4528,35.4221",71324,4279,"Haifa, Israel","Kibbutz Merav, Meirav, Israel",54951.02767663638,46.2312922729355,0.7704423150221017,driving
מישר,731,MESHAR,4,המרכז,44,רחובות,441.0,32.0,מועצה אזורית גדרות,143.0,1.0,811.0,811.0,798.0,0.0,1950,310,10.0,1768063635.0,52.0,456.0,15002488.0,2021,Meshar,,1768063635,34.75390811238899,31.81912313115466,"31.8191,34.7539",139108,5443,"Haifa, Israel","HaDuhifat St 50, Meishar, Israel",112045.65344213035,74.10699106956996,0.8054580142201049,driving
מכורה,3614,MEKHORA,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,185.0,185.0,166.0,0.0,1973,310,10.0,2401067463.0,220.0,712.0,10003299.0,2021,Mekhora,710.0,2401067463,35.4232982237855,32.164944139946954,"32.1649,35.4233",117038,6179,"Haifa, Israel","136, Mekhora",80957.55592094161,47.16737357426603,0.691720261119821,driving
מכמנים,1202,MIKHMANNIM,2,הצפון,24,עכו,242.0,56.0,מועצה אזורית משגב,,1.0,597.0,576.0,543.0,21.0,1980,370,7.0,2308775687.0,489.0,205.0,10004465.0,2021,Mikhmannim,210.0,2308775687,35.32644393024245,32.90665908576215,"32.9067,35.3264",50873,2922,"Haifa, Israel","26, Mikhmanim, Israel",31822.23587024112,39.20604008653937,0.6255230843520359,driving
מלאה,164,MELE'A,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,375.0,375.0,370.0,0.0,1956,310,1.0,2225471884.0,66.0,204.0,10004394.0,2021,Mele'a,213.0,2225471884,35.2372770952081,32.563796203172224,"32.5638,35.2373",44158,2548,"Haifa, Israel","28, Mle'a, Israel",34178.9441926847,48.29050199908357,0.7740147695249944,driving
מלילות,2044,MELILOT,6,הדרום,62,באר שבע,621.0,39.0,מועצה אזורית שדות נגב,,1.0,381.0,381.0,381.0,0.0,1953,310,2.0,1615158878.0,112.0,651.0,10001930.0,2021,Melilot,620.0,1615158878,34.595222471333244,31.389456052326338,"31.3895,34.5952",193699,7629,"Haifa, Israel","78, Mlilot, Israel",161985.90507559435,76.4384923675632,0.8362764137945696,driving
מלכייה,596,MALKIYYA,2,הצפון,21,צפת,212.0,1.0,מועצה אזורית הגליל העליון,,1.0,436.0,436.0,388.0,0.0,1949,330,15.0,2480477842.0,653.0,253.0,10004528.0,2021,Malkiyya,211.0,2480477842,35.51064595706812,33.10065140292375,"33.1007,35.5106",87225,5062,"Haifa, Israel","73, Malkiya, Israel",57319.2968539428,40.76441498897552,0.6571429848546035,driving
מלכישוע,1154,MALKISHUA,2,הצפון,23,יזרעאל,231.0,7.0,מועצה אזורית עמק המעיינות,,1.0,243.0,228.0,199.0,15.0,1976,340,,2390970497.0,510.0,202.0,10004568.0,2021,Malkishua,214.0,2390970497,35.413217049166505,32.43855636464264,"32.4386,35.4132",74375,4462,"Haifa, Israel","6672, Israel",55517.802979005486,44.79249007718954,0.7464578551799057,driving
מנוחה,2030,MENUHA,6,הדרום,61,אשקלון,611.0,50.0,מועצה אזורית לכיש,,1.0,668.0,668.0,660.0,0.0,1953,310,1.0,1788561845.0,102.0,634.0,10001813.0,2021,Menuha,,1788561845,34.77630257196673,31.657771907248573,"31.6578,34.7763",150011,6032,"Haifa, Israel","45, Menuha, Israel",129260.56322220876,77.14489847479302,0.8616738987288183,driving
מנוף,1174,MANOF,2,הצפון,24,עכו,241.0,56.0,מועצה אזורית משגב,241.0,1.0,858.0,858.0,854.0,0.0,1980,310,10.0,2224675094.0,385.0,205.0,10004513.0,2021,Manof,210.0,2224675094,35.23652877317783,32.85324469117894,"32.8532,35.2365",35934,2323,"Haifa, Israel","31, Manof, Israel",21997.322513162224,34.08969481161602,0.6121590280281133,driving
מנות,1205,MANOT,2,הצפון,24,עכו,243.0,52.0,מועצה אזורית מעלה יוסף,,1.0,497.0,497.0,494.0,0.0,1980,310,1.0,2185377150.0,246.0,255.0,10004302.0,2021,Manot,212.0,2185377150,35.19452490479822,33.0386325729882,"33.0386,35.1945",47126,2766,"Haifa, Israel","11, Manot, Israel",31377.008123309744,40.83775460734457,0.6658109774500222,driving
